Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Lot Number,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode,OEM Part Number,Duplicate Part Number
Oil separator E 11,,,,,,,,,,,,,0,,,,
Compressor below E 75,,,,,,,,,,,,,0,,,,
Bearing retainer,,,,,,,,,,,,,0,,,,
Anabond 341,,,,,,,,,,,,,0,,,,
Anabond 412,,,,,,,,,,,,,0,,,,
Anabond 115,,,,,,,,,,,,,0,,,,
Anabond 683,,,,,,,,,,,,,0,,,,
20 liters oil,,,,,,,,,,,,,0,,,,
Air Compressor-columbia 10HP,,,,,,,,,,,,,0,,,,
PISTON DIA 70,,,,,,,,,,,,,0,,,00021213 0,
"GUDGEON PIN, DIA 18",,,,,,,,,,,,,0,,,00051430 0,
"RING, STEPPED OIL CONTROL, DIA 70",,,,,,,,,,,,,0,,,00041684 0,
"RING, STEPPED COMPRESSION, DIA 70",,,,,,,,,,,,,0,,,00041588 0,
"RING,  PIAIN COMPRESSION, DIA 70",,,,,,,,,,,,,0,,,00041587 0,
GASKET CYL TO VALVE FLAT,,,,,,,,,,,,,0,,,00041154 A,
GASKET CYL HEAD TO VALVE FLAT,,,,,,,,,,,,,0,,,00041155 A,
"HEAD, CYLINDER DIA 70",,,,,,,,,,,,,0,,,00021393 0,
COOLING FAN & PULLEY ASSY,,,,,,,,,,,,,0,,,A020057,
PIPE ASSY CONNECTING NO.3,,,,,,,,,,,,,0,,,02049691 A,
PIPE ASSY CONNECTING NO.2,,,,,,,,,,,,,0,,,2049689,
ERMETO ASSY  3/4'' BSPx M36,,,,,,,,,,,,,0,,,02049610 0,
ELBOW ASSY,,,,,,,,,,,,,0,,,02049681 0,
AFTER COOLER PIPE ASSY NO. 1,,,,,,,,,,,,,0,,,02243444 9,
"KIT,TUNE UP, TS 10 120 HN",,,,,,,,,,,,,0,,,K0206108,
FREE END COVER,,,,,,,,,,,,,0,,,02036546 0,
CONN. ROD&COMBININED CRANK SHAFT ASSY .(020353080),,,,,,,,,,,,,0,,,A020433,
BEARING6309 TS 07,,,,,,,,,,,,,0,,,903358,
GASKET FLY END COVER,,,,,,,,,,,,,0,,,00042547 0,
FLY END COVER,,,,,,,,,,,,,0,,,02035463 0,
"CIRCLIP, B 20",,,,,,,,,,,,,0,,,917220,
PISTON DIA 60,,,,,,,,,,,,,0,,,00021210 0,
"GUDGEON PIN, DIA 18",,,,,,,,,,,,,0,,,00051418 0,
"RING, STEPPED OIL CONTROL, DIA 60",,,,,,,,,,,,,0,,,00041688 0,
"RING, STEPPED COMPRESSION, DIA 60",,,,,,,,,,,,,0,,,00042033 0,
"RING, TAPER PIAIN COMPRESSION, DIA 60",,,,,,,,,,,,,0,,,00041687 0,
"CYLINDER, DIA 60",,,,,,,,,,,,,0,,,00021011 0,
VALVE FINGER,,,,,,,,,,,,,0,,,00033095 0,
"GASKET,CYL. TO VALVE FLAT ",,,,,,,,,,,,,0,,,00041152 B,
VALVE FLAT,,,,,,,,,,,,,0,,,00031008 0,
"GASKET, VALVE FIAT TO HEAD",,,,,,,,,,,,,0,,,00041153 B,
"HEAD, DIA 60 CYL.",,,,,,,,,,,,,0,,,00021012 0,
CONNECTING PIECE ,,,,,,,,,,,,,0,,,02049609 0,
INTER COOLER,,,,,,,,,,,,,0,,,00031009 A,
RAC UNIT (02035994 0),,,,,,,,,,,,,0,,,X020758,
COOLING FAN & PULLEY ASSY(00047765 0),,,,,,,,,,,,,0,,,A020056,
PRESSURE GAUGE 1/4 '' BAP,,,,,,,,,,,,,0,,,B212335,
"KIT,TUNE UP, TS 05 120 HN",,,,,,,,,,,,,0,,,K0206101,
FREE END COVER,,,,,,,,,,,,,0,,,20365450,
0' RING .OLI,,,,,,,,,,,,,0,,,526550,
CONN. ROD&COMBININED CRANK SHAFT ASSY .(020353080),,,,,,,,,,,,,0,,,A020231,
BEARING 6305 TS 05 ,,,,,,,,,,,,,0,,,903346,
GASKET FLY END COVER,,,,,,,,,,,,,0,,,425510,
OIL SEAL B32x54x7,,,,,,,,,,,,,0,,,420340,
FLY END COVER,,,,,,,,,,,,,0,,,20350390,
"PISTON, DIA 90",,,,,,,,,,,,,0,,,3203180,
"GUDGEON PIN, DIA 18",,,,,,,,,,,,,0,,,3407570,
"RING SLOTTED OIL CONTROL, DIA 90",,,,,,,,,,,,,0,,,3304780,
"RING, STEPPED COMPRESSION, DIA 90",,,,,,,,,,,,,0,,,3304770,
"GASKET,C/CASE TO CYLINDER, 0.75",,,,,,,,,,,,,0,,,00041002D,
"CYLINDER, DIA 90",,,,,,,,,,,,,0,,,2035012,
"GASKET,CYL.TO VALVE FLAT",,,,,,,,,,,,,0,,,06040013 A,
VALVE FIAT,,,,,,,,,,,,,0,,,00330479 0,
"GASKET, VALVE FIAT TO HEAD",,,,,,,,,,,,,0,,,06040012 A,
"HEAD, DIA 90 CYL.",,,,,,,,,,,,,0,,,02036001 0,
PISTON DIA 50 ,,,,,,,,,,,,,0,,,00021357 0,
"CIRCLIP, B 12",,,,,,,,,,,,,0,,,917212,
"GUDGEON PIN, DIA 12",,,,,,,,,,,,,0,,,00051431 0,
"RING, STEPPED OIL CONTROL, DIA 50",,,,,,,,,,,,,0,,,00041683 A,
"RING, STEPPED COMPRESSION, DIA 50",,,,,,,,,,,,,0,,,00041590 A,
"RING, TAPER PIAIN COMPRESSION, DIA 50",,,,,,,,,,,,,0,,,00041589 A,
"CYLINDER, DIA 50",,,,,,,,,,,,,0,,,00021004 0,
VALVE FINGER,,,,,,,,,,,,,0,,,00033094 0,
"GASKET,CYL. TO VALVE FLAT ",,,,,,,,,,,,,0,,,00041150 A,
VALVE FLAT,,,,,,,,,,,,,0,,,00031005 0,
"GASKET, VALVE FIAT TO HEAD",,,,,,,,,,,,,0,,,00041151 A,
"HEAD, DIA 50 CYL.",,,,,,,,,,,,,0,,,00021993 0,
INTER COOLER,,,,,,,,,,,,,0,,,00330525 0,
RAC UNIT (02035929 0),,,,,,,,,,,,,0,,,X020694,
COOLING FAN & PULLEY ASSY(02049017 0),,,,,,,,,,,,,0,,,A020423,
AFTER COOLER PIPE,,,,,,,,,,,,,0,,,22434419,
PRESSURE PIPE LINE ASSY.NRV TO PSW,,,,,,,,,,,,,0,,,20496930,
"KIT,TUNE UP, TS 05 120 HN",,,,,,,,,,,,,0,,,K0206100,
PISTON DIA 100,,,,,,,,,,,,,0,,,02049456 0,
"PIN, GUDGEON, DIA 20",,,,,,,,,,,,,0,,,,
"RENG, SLOTTED, OIL  CONTROL DIA 100",,,,,,,,,,,,,0,,,02243413 9,
"RING, STEPPED COMPRESSION, DIA 100",,,,,,,,,,,,,0,,,,
"RING, TAPER PLAIN COMPRESSION, DIA 100",,,,,,,,,,,,,0,,,,
"CYLINDER, DIA 100",,,,,,,,,,,,,0,,,00021010 A,
